county_name,year,avg_summer_tmax_f,max_summer_tmax_f,p95_tmax_f,p99_tmax_f,heatwave_days,station_day_count_tmax,station_count_tmax,avg_summer_tmin_f,max_summer_tmin_f,p95_tmin_f,hot_nights,station_day_count_tmin,station_count_tmin,max_consecutive_hot_days,state,county,county_fips,name,total_population,median_household_income,poverty_population,population_65_plus,pct_65_plus,pct_poverty,occupied_housing_units,renter_occupied_units,pct_renter_occupied,pct_white_alone,pct_black_alone,pct_asian_alone,heat_ed_rate,pandemic_year,tree_canopy_pct
Alameda,2020,80.11259985984583,111.92,98.69000000000004,105.746,157,1427,12,58.99656537102474,86.0,71.06,36,1415,12,3,6,1,6001,"Alameda County, California",1661584.0,104888.0,152060.0,231186.0,13.913590886768286,9.151508440139049,573174.0,265893.0,46.38957803389547,37.97803782414852,10.346873826421051,31.25024073414284,7.8,1.0,11.279029596449018
Alameda,2021,79.39022662889518,111.92,98.96,105.08,161,1412,12,57.17392045454546,80.96,69.66499999999988,22,1408,12,1,6,1,6001,"Alameda County, California",1673133.0,112017.0,146763.0,233996.0,13.985499060744123,8.771747374536275,581683.0,268273.0,46.12013760072067,35.90814358452077,10.19835243223342,31.58756655926337,5.4,1.0,10.826617031263282
Alameda,2022,80.49019257221458,116.06,100.94,107.96,193,1454,12,57.90547586206897,87.98,69.98,23,1450,12,5,6,1,6001,"Alameda County, California",1663823.0,122488.0,149843.0,243239.0,14.619283421373549,9.005945944971309,585818.0,268367.0,45.81064426152832,34.012692455868205,10.187201403033855,32.13436765809824,8.26,0.0,10.743166816349008
Alameda,2023,77.95639004149378,109.04,96.98,104.0,111,1446,12,56.65663667820069,80.96,66.02,11,1445,12,1,6,1,6001,"Alameda County, California",1651949.0,126240.0,149752.0,246841.0,14.942410449717272,9.065170898133054,593117.0,272405.0,45.92770060544547,31.9862174921865,9.9191318860328,32.23767803969736,7.38,0.0,10.73055885103096
Alameda,2024,83.62674208144796,122.0,104.0,111.02,259,1326,11,57.581128668171566,82.94,69.98,24,1329,11,5,6,1,6001,"Alameda County, California",1649473.0,129367.0,149429.0,254161.0,15.40861838902486,9.0591964827554,598246.0,272737.0,45.58943979566934,29.8388636855529,9.613737236074794,32.93415533324886,7.76,0.0,10.760846887900865
Alpine,2020,73.17249180327869,96.98,88.34899999999999,92.3,4,1220,10,44.31849180327869,62.96,55.76899999999999,0,1220,10,0,6,3,6003,"Alpine County, California",1159.0,85750.0,139.0,337.0,29.076790336496984,11.993097497842967,397.0,76.0,19.143576826196472,57.20448662640207,0.8628127696289906,0.5176876617773942,,,24.286805329032624
Alpine,2021,74.57685039370078,98.6,90.14,95.0,14,1143,10,46.43669291338583,65.48,57.92,0,1143,10,0,6,3,6003,"Alpine County, California",1344.0,96000.0,174.0,379.0,28.199404761904763,12.946428571428571,434.0,79.0,18.202764976958523,59.22619047619048,0.5952380952380952,0.744047619047619,,,21.525758748762776
Alpine,2022,72.6078524590164,98.78,88.889,93.92,8,1220,10,46.55654098360656,68.0,59.18,0,1220,10,0,6,3,6003,"Alpine County, California",1515.0,101125.0,208.0,386.0,25.47854785478548,13.72937293729373,435.0,75.0,17.24137931034483,63.43234323432343,0.0,0.198019801980198,,,21.396264319943555
Alpine,2023,68.67381967213115,99.14,85.10899999999998,91.7258,6,1220,10,42.87043478260869,72.14,55.94,0,1219,10,0,6,3,6003,"Alpine County, California",1695.0,110781.0,209.0,369.0,21.76991150442478,12.330383480825958,473.0,90.0,19.02748414376321,63.48082595870207,0.0,0.471976401179941,,,21.717744573599457
Alpine,2024,73.71536945812808,100.04,89.06,93.92,12,1218,10,45.95383606557377,65.66,57.92,0,1220,10,0,6,3,6003,"Alpine County, California",1616.0,105521.0,161.0,341.0,21.10148514851485,9.962871287128714,435.0,95.0,21.83908045977012,61.01485148514851,0.0,2.2277227722772275,,,21.900848988498318
Amador,2020,88.77786516853934,107.06,100.04,104.486,70,356,3,64.26651685393259,84.91999999999999,75.92,27,356,3,7,6,5,6005,"Amador County, California",39023.0,65187.0,2872.0,10537.0,27.00202444712093,7.359762191528072,14844.0,3448.0,23.22824036647804,84.66801629808062,2.385772493145069,0.9609717346180456,36.42,1.0,27.25545641384387
Amador,2021,90.9838961038961,107.96,101.64199999999995,105.91700000000002,114,308,3,65.76870129870129,82.94,78.08,44,308,3,6,6,5,6005,"Amador County, California",40095.0,69955.0,2891.0,10704.0,26.69659558548448,7.210375358523506,15394.0,3319.0,21.56034818760556,81.79074697593217,2.48659433844619,1.1422870682129942,54.02,1.0,26.5681397326603
Amador,2022,88.46295384615384,109.94,100.94,105.7208,97,325,3,64.1117791411043,84.91999999999999,77.81,32,326,3,10,6,5,6005,"Amador County, California",40577.0,74853.0,2945.0,10925.0,26.92411957512877,7.257806146339059,15745.0,3305.0,20.99079072721499,80.29918426694925,1.7399019148778865,1.279049707962639,69.0,0.0,26.51868337368348
Amador,2023,85.08897959183673,107.06,100.94,104.0756,44,294,3,61.10470989761093,87.98,75.92,22,293,3,5,6,5,6005,"Amador County, California",41029.0,81526.0,2931.0,11163.0,27.20758487898804,7.143727607302153,16066.0,3203.0,19.9365118884601,77.75719612956689,2.010772867971435,1.430695361817251,,,26.666523783723232
Amador,2024,89.66965517241378,107.96,100.94,105.43999999999998,80,261,3,65.01103448275862,84.91999999999999,78.98,34,261,3,12,6,5,6005,"Amador County, California",41428.0,88044.0,3111.0,11423.0,27.573138939847446,7.509413922950661,16091.0,3150.0,19.576160586663352,76.12242927488654,2.022786521193396,1.489330887322584,85.7,0.0,26.61674793848489
Butte,2020,90.095822906641,109.94,102.92,107.06,315,1039,10,63.23052123552124,87.08000000000001,75.245,63,1036,10,6,6,7,6007,"Butte County, California",223344.0,54972.0,39676.0,40663.0,18.206443871337488,17.764524679418297,83879.0,33992.0,40.52504202482147,79.95200229242782,1.7309621033025289,4.810068772834731,27.45,1.0,25.96591023086064
Butte,2021,91.0755333998006,113.0,104.0,107.96,393,1003,10,63.78642073778664,89.06,77.0,79,1003,10,6,6,7,6007,"Butte County, California",217884.0,59863.0,37731.0,39194.0,17.988470929485416,17.31701272236603,85292.0,35743.0,41.90662664728227,77.81663637531898,1.8353802941014483,5.036624993115603,40.37,1.0,18.58603811791132
Butte,2022,90.2824025974026,114.98,105.08,110.77159999999998,347,924,10,63.3690021691974,89.96000000000001,77.0,69,922,10,11,6,7,6007,"Butte County, California",213605.0,66085.0,38015.0,38852.0,18.188712811029703,17.796868050841507,83319.0,34895.0,41.88120356701353,75.73745932913556,1.808010112122844,5.234896186887012,34.89,0.0,19.046371724613657
Butte,2023,86.86688567674112,109.94,102.02,107.06,171,761,9,61.87031496062992,84.91999999999999,75.02,42,762,9,5,6,7,6007,"Butte County, California",209470.0,68574.0,37531.0,38054.0,18.16680192867714,17.91712417052561,82345.0,34358.0,41.72445200072864,72.61994557693225,1.772091468945434,5.41127607771996,43.53,0.0,19.8327941448704
Butte,2024,91.56204379562044,114.98,107.06,111.92,319,822,9,64.60167883211679,89.06,77.0,90,822,9,15,6,7,6007,"Butte County, California",207929.0,67928.0,39109.0,38227.0,18.384640911080226,18.80882416594126,83312.0,35595.0,42.72493758402151,69.51603672407408,1.8386083711266827,5.592774456665496,69.3,0.0,19.805891946507927
Calaveras,2020,79.46098360655738,93.92,87.98,91.751,0,122,1,55.790983606557376,71.06,64.94,0,122,1,0,6,9,6009,"Calaveras County, California",45828.0,67054.0,5177.0,12840.0,28.017805708300603,11.296587239242385,16958.0,3466.0,20.43873098242717,87.40944400803002,0.9819324430479184,1.8853102906520032,30.16,1.0,27.72071857553063
Calaveras,2021,88.35826086956521,105.98,97.142,104.2808,31,138,2,56.86869565217391,71.06,66.02,0,138,2,6,6,9,6009,"Calaveras County, California",45349.0,70119.0,6346.0,12717.0,28.04251471917793,13.99369335597257,16809.0,3111.0,18.507942173835445,84.61708086176101,0.9680478070078724,2.249222695098018,34.39,1.0,27.393740021363563
Calaveras,2022,87.57354838709678,109.94,100.94,105.215,47,186,2,57.12451612903226,73.04,66.92,0,186,2,6,6,9,6009,"Calaveras County, California",45674.0,77526.0,5915.0,13155.0,28.801944213338004,12.950475106187328,17198.0,3084.0,17.932317711361787,83.14139335289224,0.985243245610194,1.9617287734816309,60.39,0.0,27.400698228643627
Calaveras,2023,85.69172413793103,105.98,102.92,105.98,39,174,2,56.18582857142857,77.0,66.92,1,175,2,13,6,9,6009,"Calaveras County, California",45995.0,79877.0,6083.0,13220.0,28.74225459289053,13.225350581584957,17897.0,2798.0,15.63390512376376,80.78921621915426,1.1501250135884336,2.317643222089357,,,27.55982700463992
Calaveras,2024,91.04662576687116,111.02,104.0,109.7924,62,163,2,58.492024539877306,75.02,69.08,1,163,2,14,6,9,6009,"Calaveras County, California",46248.0,78647.0,5956.0,13517.0,29.22720982528974,12.878394741394224,18437.0,2957.0,16.038401041384173,78.69745718733783,0.988150838955198,2.229285590728248,62.55,0.0,27.58507333106365
Colusa,2020,94.24237704918032,109.94,105.08,108.5756,126,244,2,57.68666666666667,78.98,69.98,2,243,2,11,6,11,6011,"Colusa County, California",21491.0,59427.0,2540.0,3142.0,14.62007351914755,11.81890093527523,7329.0,2678.0,36.53977350252422,79.15871760271742,1.5355264994648925,0.9352752314922528,,,7.1324933700527335
Colusa,2021,95.57648648648647,113.0,105.98,109.751,135,222,2,60.854,73.94,71.06,0,220,2,12,6,11,6011,"Colusa County, California",21780.0,61861.0,2807.0,3171.0,14.55922865013774,12.887970615243344,7303.0,2806.0,38.42256606873888,68.75573921028466,1.6620752984389346,0.8999081726354453,54.25,1.0,6.950219758532552
Colusa,2022,94.87067226890755,114.08,107.96,113.2808,139,238,2,59.08546218487395,73.94,69.98,0,238,2,30,6,11,6011,"Colusa County, California",21811.0,69619.0,2364.0,3299.0,15.125395442666544,10.83856769519967,7432.0,2746.0,36.94833153928956,60.932556966668194,1.6826372014121314,0.7519141717482004,55.13,0.0,7.195464522208899
Colusa,2023,91.05333333333331,111.02,105.08,107.58199999999998,86,243,2,53.07333333333333,69.08,63.93199999999998,0,243,2,14,6,11,6011,"Colusa County, California",21895.0,75149.0,2332.0,3355.0,15.323133135419043,10.650833523635534,7466.0,2820.0,37.77122957406912,51.19890385932862,1.4204156200045672,0.6622516556291391,,,7.613571701507507
Colusa,2024,95.22444444444444,114.98,107.06,111.92,133,243,2,53.29461538461538,68.0,62.96,0,234,2,17,6,11,6011,"Colusa County, California",21984.0,75672.0,2465.0,3410.0,15.511280931586608,11.212700145560408,7512.0,2838.0,37.77955271565495,38.50982532751092,1.5238355167394468,0.9779839883551676,55.46,0.0,8.15215616502615
Contra Costa,2020,84.76880753138074,111.92,100.04,105.98,141,956,8,61.14121085594989,89.06,75.92,63,958,8,7,6,13,6013,"Contra Costa County, California",1147788.0,103997.0,93021.0,181578.0,15.819820384949136,8.104371190498593,398299.0,132061.0,33.15624694011283,53.04019557618654,8.587735714260821,17.438673343857925,8.91,1.0,10.560216962245889
Contra Costa,2021,83.67529411764706,107.96,98.96,104.0,130,918,8,60.07627856365615,87.08000000000001,75.02,50,919,8,2,6,13,6013,"Contra Costa County, California",1161643.0,110455.0,94523.0,184031.0,15.84230266958093,8.137009391009114,405106.0,133727.0,33.01037259383964,49.97430363717597,8.630878850042569,17.812529322692082,9.59,1.0,10.187885165204158
Contra Costa,2022,83.64824,111.92,100.04,107.519,104,750,7,61.12448,89.06,75.92,51,750,7,6,6,13,6013,"Contra Costa County, California",1162648.0,120020.0,95255.0,190307.0,16.368410731364953,8.192935437036834,408537.0,134149.0,32.83643831525664,46.63543910108648,8.716739718298228,18.28309170101355,13.84,0.0,10.09622012084562
Contra Costa,2023,79.74220843672457,105.08,97.79,102.02,72,806,7,58.40171215880893,84.02,73.94,38,806,7,2,6,13,6013,"Contra Costa County, California",1161458.0,125727.0,95048.0,193816.0,16.687301650167292,8.183507281365317,411662.0,133153.0,32.34522496611298,43.497225039562345,8.467460726087383,18.507599930432267,13.06,0.0,10.123892518249257
Contra Costa,2024,84.65924205378973,109.04,100.94,105.98,147,818,7,60.50557457212714,89.06,75.92,63,818,7,6,6,13,6013,"Contra Costa County, California",1165012.0,127229.0,96639.0,199270.0,17.10454484589,8.295107689877874,414417.0,132598.0,31.9962742841148,41.12489828430952,8.275279567935781,18.8459002997394,14.73,0.0,10.24459315475634
Del Norte,2020,71.02441260744986,96.08,88.62799999999997,93.02,3,349,3,54.48710601719198,75.02,68.0,1,349,3,0,6,15,6015,"Del Norte County, California",27692.0,49981.0,4223.0,4924.0,17.78130868120757,15.24989166546295,9805.0,3099.0,31.60632330443651,72.23024700274448,2.6975299725552504,3.177813086812076,,,63.27785443403597
Del Norte,2021,67.09849372384937,93.92,83.04799999999999,86.66960000000002,0,239,2,55.06861924686192,75.92,71.96,5,239,2,0,6,15,6015,"Del Norte County, California",27655.0,53280.0,4284.0,4941.0,17.866570240462845,15.490869643825713,9531.0,3026.0,31.74902948274053,69.36901102874707,2.975953715422166,2.979569698065449,,,61.61148008222167
Del Norte,2022,70.10393442622951,98.96,89.06,93.33500000000002,3,366,3,54.81918032786885,78.98,69.08,4,366,3,0,6,15,6015,"Del Norte County, California",27462.0,61149.0,3585.0,5261.0,19.15738110844076,13.054402447017695,9530.0,3038.0,31.878279118572927,69.0736290146384,2.72012235088486,3.1279586337484524,,,61.76359665469736
Del Norte,2023,69.14913907284769,98.96,87.98,94.9892,4,302,3,53.5928476821192,75.92,66.02,3,302,3,0,6,15,6015,"Del Norte County, California",27293.0,66780.0,2900.0,5392.0,19.75598138716888,10.625435093247352,9621.0,2770.0,28.79118594740672,67.10878247169603,2.949474224160041,3.13633532407577,,,61.85359637798326
Del Norte,2024,71.0511475409836,102.02,89.06,97.35800000000005,7,366,3,54.58655737704918,80.96,69.98,6,366,3,0,6,15,6015,"Del Norte County, California",27107.0,67058.0,3204.0,5552.0,20.481794370457816,11.81982513741838,9522.0,2849.0,29.920184835118675,64.17530527170103,2.5159552883019147,3.4345372044121443,,,57.281896851232695
El Dorado,2020,80.6248476992871,111.02,98.06,104.0,165,1543,14,50.55224886584576,78.98,68.0,14,1543,14,0,6,17,6017,"El Dorado County, California",190345.0,83710.0,16018.0,40418.0,21.23407496913499,8.41524600068297,73078.0,17885.0,24.47384985905471,86.44934198429168,0.8332238829493814,4.786571751293703,15.86,1.0,38.445838071975565
El Dorado,2021,82.7312568306011,111.92,100.04,105.08,291,1647,14,52.737430167597765,80.78,70.07,16,1611,14,2,6,17,6017,"El Dorado County, California",190568.0,88770.0,16394.0,40881.0,21.45218504680744,8.602703496914488,74535.0,17743.0,23.804923861273227,84.68420721212375,0.8600604508626841,4.956760841274506,20.26,1.0,36.96748677955237
