countyFips,countyName,year,observedEdRate,summerAvgMax,heatwaveDays,consecutiveHotDays,warmNightCount,tailPercentileTemp,elderlyPct,povertyPct,acCoverage,treeCanopy
06001,Alameda,2020,7.8,80.11259985984583,157,3,36,105.746,13.913590886768286,9.151508440139049,76.46,26.13
06001,Alameda,2021,5.4,79.39022662889518,161,1,22,105.08,13.985499060744123,8.771747374536275,74.44,26.86
06001,Alameda,2022,8.26,80.49019257221458,193,5,23,107.96,14.619283421373549,9.005945944971309,77.13,26.65
06001,Alameda,2023,7.38,77.95639004149378,111,1,11,104.0,14.942410449717272,9.065170898133054,77.41,26.31
06001,Alameda,2024,7.76,83.62674208144796,259,5,24,111.02,15.40861838902486,9.0591964827554,73.07,26.5
06003,Alpine,2020,,73.17249180327869,4,0,0,92.3,29.076790336496984,11.993097497842967,66.05,20.75
06003,Alpine,2021,,74.57685039370078,14,0,0,95.0,28.199404761904763,12.946428571428571,68.19,21.15
06003,Alpine,2022,,72.6078524590164,8,0,0,93.92,25.47854785478548,13.72937293729373,67.53,22.47
06003,Alpine,2023,,68.67381967213115,6,0,0,91.7258,21.76991150442478,12.330383480825958,67.97,18.43
06003,Alpine,2024,,73.71536945812808,12,0,0,93.92,21.10148514851485,9.962871287128714,66.72,20.76
06005,Amador,2020,36.42,88.77786516853934,70,7,27,104.486,27.00202444712093,7.359762191528072,60.52,15.02
06005,Amador,2021,54.02,90.9838961038961,114,6,44,105.91700000000002,26.69659558548448,7.210375358523506,60.37,15.14
06005,Amador,2022,69.0,88.46295384615384,97,10,32,105.7208,26.92411957512877,7.257806146339059,59.3,14.47
06005,Amador,2023,,85.08897959183673,44,5,22,104.0756,27.20758487898804,7.143727607302153,60.89,13.08
06005,Amador,2024,85.7,89.66965517241378,80,12,34,105.43999999999998,27.573138939847446,7.509413922950661,59.9,15.17
06007,Butte,2020,27.45,90.095822906641,315,6,63,107.06,18.206443871337488,17.764524679418297,60.71,18.53
06007,Butte,2021,40.37,91.0755333998006,393,6,79,107.96,17.988470929485416,17.31701272236603,62.55,15.27
06007,Butte,2022,34.89,90.2824025974026,347,11,69,110.77159999999998,18.188712811029703,17.796868050841507,60.56,17.66
06007,Butte,2023,43.53,86.86688567674112,171,5,42,107.06,18.16680192867714,17.91712417052561,63.32,16.47
