countyFips,countyName,year,observedEdRate,summerAvgMax,heatwaveDays,consecutiveHotDays,warmNightCount,tailPercentileTemp,elderlyPct,povertyPct,acCoverage,treeCanopy
06001,Alameda,2017,6.85,81.91,8,1,5,88.86,14.92,10.82,77.89,27.08
06001,Alameda,2018,6.49,81.44,8,4,10,89.29,15.03,10.75,78.15,27.35
06001,Alameda,2019,7.78,81.0,8,4,12,90.37,14.89,10.62,77.95,26.87
06001,Alameda,2020,5.83,80.23,8,4,11,86.23,15.14,10.87,79.5,27.07
06001,Alameda,2021,6.52,81.91,10,2,10,88.15,14.79,10.71,81.41,25.68
06001,Alameda,2022,7.61,82.12,14,5,18,88.5,14.86,11.17,78.88,25.35
06013,Contra Costa,2017,7.33,83.19,14,4,15,91.15,14.36,8.9,84.63,22.82
06013,Contra Costa,2018,6.15,82.43,12,5,16,90.43,14.44,8.54,85.5,21.76
06013,Contra Costa,2019,6.16,83.0,7,4,16,89.77,14.78,8.34,85.32,22.35
06013,Contra Costa,2020,4.49,85.19,8,3,6,92.47,14.27,8.81,85.66,24.39
06013,Contra Costa,2021,5.5,83.15,15,6,15,92.11,14.01,8.46,84.23,22.8
06013,Contra Costa,2022,8.88,85.2,13,6,21,94.8,15.65,8.88,84.14,21.41
06017,El Dorado,2017,11.71,88.7,16,8,20,96.51,12.52,14.34,76.38,19.39
06017,El Dorado,2018,10.75,89.73,16,6,20,100.29,12.6,15.35,75.76,20.17
06017,El Dorado,2019,10.8,89.32,18,6,16,95.79,13.0,15.64,77.35,19.33
06017,El Dorado,2020,9.41,90.98,20,8,25,99.2,12.44,14.46,79.59,20.81
06017,El Dorado,2021,9.62,88.73,18,8,22,96.73,12.86,15.15,79.22,19.5
06017,El Dorado,2022,12.2,90.1,19,7,24,99.19,12.4,15.02,76.39,19.17
06019,Fresno,2017,15.8,97.91,25,10,31,107.13,12.26,18.72,76.89,20.52
06019,Fresno,2018,13.12,95.48,22,10,31,103.6,12.43,17.82,76.3,17.66
06019,Fresno,2019,13.54,95.22,21,13,23,102.9,13.42,19.84,74.79,18.21
06019,Fresno,2020,11.06,99.03,24,10,24,107.87,12.14,18.58,76.14,18.69
06019,Fresno,2021,12.51,98.1,27,10,30,106.23,12.82,18.64,79.68,19.76
06019,Fresno,2022,14.58,100.0,28,11,26,110.11,12.87,18.23,75.84,18.72
06023,Humboldt,2017,3.79,76.01,4,3,0,81.92,14.74,9.94,89.73,31.07
06023,Humboldt,2018,2.97,78.92,0,1,0,84.72,15.19,10.06,92.89,33.42
06023,Humboldt,2019,4.35,78.91,4,2,5,86.29,14.2,10.14,90.0,33.41
06023,Humboldt,2020,2.65,77.06,5,1,6,85.08,14.93,9.54,88.77,32.5
06023,Humboldt,2021,4.57,76.75,6,1,8,83.04,14.84,10.47,87.19,32.0
06023,Humboldt,2022,6.5,77.85,13,2,16,85.33,14.76,9.92,90.69,31.78
06025,Imperial,2017,20.53,105.65,30,13,40,114.76,16.58,19.81,75.02,4.0
06025,Imperial,2018,18.96,106.3,40,13,31,118.23,16.73,19.77,75.72,4.0
06025,Imperial,2019,18.57,103.75,32,13,29,110.98,16.93,19.54,74.44,4.42
06025,Imperial,2020,16.97,106.18,31,13,36,117.17,16.76,19.94,73.35,4.0
06025,Imperial,2021,15.94,101.82,24,12,35,111.48,16.99,20.16,75.74,4.0
06025,Imperial,2022,20.07,106.58,32,13,38,117.54,17.6,19.17,74.34,4.0
06029,Kern,2017,15.46,99.61,21,9,22,108.03,12.19,20.72,70.3,10.43
06029,Kern,2018,15.2,99.51,22,11,27,108.55,12.16,21.57,72.92,10.2
06029,Kern,2019,16.73,100.34,24,11,25,107.64,11.19,20.34,69.12,9.91
06029,Kern,2020,15.12,100.38,23,10,28,110.33,11.88,21.22,68.1,10.15
06029,Kern,2021,14.51,99.3,30,11,31,107.56,12.19,20.45,70.81,11.01
06029,Kern,2022,16.46,100.58,34,10,34,107.39,11.42,21.34,71.15,9.57
06031,Kings,2017,15.36,96.47,25,9,28,103.6,15.22,16.8,72.66,11.72
06031,Kings,2018,15.43,98.89,27,9,23,109.49,15.26,17.32,72.13,12.25
06031,Kings,2019,15.13,97.47,25,10,32,104.59,15.59,16.54,74.51,9.17
06031,Kings,2020,12.62,96.01,22,9,25,105.26,14.93,17.04,73.78,11.39
06031,Kings,2021,12.78,97.73,28,10,28,105.23,14.98,16.73,73.29,11.13
06031,Kings,2022,15.51,99.91,29,12,34,107.17,15.31,16.86,71.44,11.24
06037,Los Angeles,2017,10.27,89.63,19,4,18,97.08,16.76,13.43,88.03,16.07
06037,Los Angeles,2018,9.3,87.76,19,9,17,94.02,17.02,12.94,86.26,17.21
06037,Los Angeles,2019,10.38,90.03,13,5,19,98.75,17.37,12.47,85.84,16.19
06037,Los Angeles,2020,8.29,86.43,13,7,20,93.49,17.77,12.97,85.09,17.23
06037,Los Angeles,2021,8.8,88.64,18,5,10,98.37,18.21,12.98,82.13,16.77
06037,Los Angeles,2022,10.48,90.85,20,5,24,101.11,17.26,13.01,84.82,17.51
06039,Madera,2017,13.93,97.64,22,11,22,107.15,18.9,14.61,73.35,14.18
06039,Madera,2018,14.54,93.59,22,9,21,100.45,18.96,14.75,69.23,13.84
06039,Madera,2019,13.88,95.95,21,12,25,105.22,18.7,15.29,74.02,14.22
06039,Madera,2020,12.6,96.2,26,9,24,105.37,18.67,15.34,69.7,12.55
06039,Madera,2021,12.58,92.95,21,10,23,100.51,18.75,15.38,71.62,12.49
06039,Madera,2022,15.79,97.86,31,9,32,106.4,18.28,14.34,74.11,12.93
06041,Marin,2017,5.41,76.08,4,2,15,82.82,13.2,10.12,87.71,24.56
06041,Marin,2018,3.27,78.77,5,3,10,83.23,12.0,10.98,91.17,23.38
06041,Marin,2019,5.98,79.54,8,2,7,85.95,12.77,10.17,92.46,25.63
06041,Marin,2020,4.69,77.59,8,4,12,84.88,13.15,10.72,86.71,24.27
06041,Marin,2021,4.75,78.1,12,3,15,84.52,12.98,10.14,89.98,24.25
06041,Marin,2022,5.59,81.41,12,3,14,87.86,12.81,10.15,89.16,23.6
06045,Mendocino,2017,7.46,78.58,7,4,13,86.41,18.46,11.11,83.94,29.34
06045,Mendocino,2018,7.09,80.68,6,3,12,87.04,18.22,11.55,84.81,28.56
06045,Mendocino,2019,6.21,79.32,4,2,14,84.52,17.6,10.7,85.61,29.09
06045,Mendocino,2020,4.28,81.03,5,1,3,86.73,18.09,11.32,87.7,30.53
06045,Mendocino,2021,5.31,82.81,6,3,11,93.22,18.79,11.16,87.02,28.78
06045,Mendocino,2022,8.38,82.27,12,4,16,86.54,18.71,11.05,83.4,29.02
06047,Merced,2017,11.5,92.73,22,8,26,101.67,12.4,16.41,80.62,9.07
06047,Merced,2018,12.4,94.4,21,9,27,101.67,12.34,15.68,80.96,11.58
06047,Merced,2019,10.34,91.33,17,8,21,99.56,13.23,15.85,79.23,10.96
06047,Merced,2020,12.56,94.77,26,8,31,103.1,12.3,16.14,78.91,9.98
06047,Merced,2021,10.81,95.85,23,10,25,106.08,12.05,15.99,79.23,10.68
